영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Chattanooga Metropolitan Airport,채터누가 메트로폴피탄 공항,CHA,KCHA,북미캐나다,United States,미국,Chattanooga
Chaudhary Charan Singh International Airport,아마우시 공항,LKO,VILK,아시아태평양,India,인도,Lucknow
Chaurjahari Airport,차우르자하리 공항,RUK,VNRK,아시아태평양,Nepal,네팔,Rukumkot
Chaurjhari Airport,차우르자리 공항,HRJ,n/a,아시아태평양,Nepal,네팔,Chaurjhari
Chautauqua County Jamestown Airport,셔터쿼 카운티 제임스타운 공항,JHW,KJHW,북미캐나다,United States,미국,Jamestown
Cheboksary Airport,체보크사리 공항,CSY,UWKS,유럽,Russia,러시아,Cheboksary
Cheddi Jagan International Airport,체디 자간 국제 공항,GEO,SYCJ,중남미,Guyana,가이아나,Georgetown
Chefornak Airport,체포르낙 공항,CYF,PACK,북미캐나다,United States,미국,Chefornak
Chelinda Airport,첼린다 공항,CEH,FWCD,중동아프리카,Malawi,말라위,Chelinda
Chelyabinsk Airport,첼랴빈스크 공항,CEK,USCC,유럽,Russia,러시아,Chelyabinsk
Chenega Bay Airport,체네가베이 공항,NCN,PFCB,북미캐나다,United States,미국,Chenega
Chengde Puning Airport,청더 푸닝 공항,CDE,n/a,아시아태평양,China,중국,Chengde
Chengdu Shuangliu International Airport,청두 솽류 국제공항,CTU,ZUUU,아시아태평양,China,중국,Chengdu
Chengdu Tianfu International Airport,청두 톈푸 국제공항,TFU,ZUTF,아시아태평양,China,중국,Chengdu
Chennai International Airport,첸나이 국제 공항,MAA,VOMM,아시아태평양,India,인도,Chennai
Chennault International Airport,첸노 국제 공항,CWF,KCWF,북미캐나다,United States,미국,Lake Charles
Chenzhou Beihu Airport,첸저우 베이후 공항,HCZ,ZGCZ,아시아태평양,China,중국,Chenzhou
Cheongju International Airport,청주국제공항,CJJ,RKTU,아시아태평양,South Korea,대한민국,Cheongju
Cherbourg Maupertus Airport,쉘부르 마우페르투스 공항,CER,LFRC,유럽,France,프랑스,Cherbourg-Octeville
Cherepovets Airport,체레포베츠 공항,CEE,ULWC,유럽,Russia,러시아,Cherepovets
Cherif Al Idrissi Airport,체리프 알 이드리시 공항,AHU,GMTA,중동아프리카,Morocco,모로코,Al Hoceima
Cherkasy International Airport,체르카시 국제 공항,CKC,UKKE,유럽,Ukraine,우크라이나,Cherkasy
Chernivtsi International Airport,체르니우치 국제공항,CWC,UKLN,유럽,Ukraine,우크라이나,Chernivtsi
Cherry Capital Airport,체리 캐피탈 공항,TVC,KTVC,북미캐나다,United States,미국,Traverse City
Chersky Airport,체르스키 공항,CYX,UESS,유럽,Russia,러시아,Chersky
ChesterFieldInlet Airport,체스터필드 인렛 공항,YCS,CYCS,북미캐나다,Canada,캐나다,Chesterfield
Chetumal International Airport,체투말 국제 공항,CTM,MMCM,중남미,Mexico,멕시코,Chetumal
Chevak Airport,체박 공항,VAK,PAVA,북미캐나다,United States,미국,Chevak
Chevery Airport,체버리 공항,YHR,CYHR,북미캐나다,Canada,캐나다,Chevery
Cheyenne Regional Airport,샤이엔 지역공항,CYS,KCYS,북미캐나다,United States,미국,Cheyenne
Chhatrapati Shivaji International Airport,차트라파티 시바지 국제공항,BOM,VABB,아시아태평양,India,인도,Mumbai
Chiang Mai International Airport,치앙마이 국제 공항,CNX,VTCC,아시아태평양,Thailand,태국,Chiang Mai
Chiang Rai International Airport,치앙라이 국제공항,CEI,VTCT,아시아태평양,Thailand,태국,Chiang Rai
Chiayi Airport,자이 공항,CYI,RCKU,아시아태평양,Taiwan,대만,Chiayi
Chibougamau Airport,치부가마우 공항,YMT,CYMT,북미캐나다,Canada,캐나다,Chibougamau
Chicago Executive Airport,시카고 이그제큐티브 공항,PWK,KPWK,북미캐나다,United States,미국,Chicago
Chicago Rockford International Airport,시카고 락퍼드 국제공항,RFD,KRFD,북미캐나다,United States,미국,Chicago
Chichen Itza International Airport,치첸이트사 국제공항,CZA,MMCT,중남미,Mexico,멕시코,Chichen Itza
Chichijima Airport,치치지마 공항,n/a,n/a,아시아태평양,Japan,일본,Chichijima
Chicken Airport,치킨 공항,CKX,n/a,북미캐나다,United States,미국,Chicken
Chico Municipal Airport,치코 공항,CIC,KCIC,북미캐나다,United States,미국,Chico
Chief Dawid Stuurman International Airport,치프 다위드 스터먼 국제공항,PLZ,FAPE,중동아프리카,South Africa,남아프리카,Port Elizabeth
Chifeng Yulong Airport,츠펑 위룽 공항,CIF,ZBCF,아시아태평양,China,중국,Chifeng
Chignik Fisheries Airport,치그닉 수산 공항,KCG,n/a,북미캐나다,United States,미국,Chignik
Chignik Lagoon Airport,치그닉 라군 공항,KCL,n/a,북미캐나다,United States,미국,Chignik Lagoon
Chignik Lake Airport,치그닉 레이크 공항,KCQ,PAJC,북미캐나다,United States,미국,Chignik Lake
Chileka International Airport,칠레카 국제 공항,BLZ,FWCL,중동아프리카,Malawi,말라위,Blantyre
Chillagoe Airport,칠라고 공항,LLG,YCGO,대양주,Australia,오스트레일리아,Chillagoe
Chimbu Airport,침부 공항,CMU,AYCH,아시아태평양,Papua New Guinea,파푸아뉴기니,Kundiawa
Chimoio Airport,치모이오 공항,VPY,FQCH,중동아프리카,Mozambique,모잠비크,Chimoio
Chimore Airport,치모어 공항,CCA,SLCH,중남미,Bolivia,볼리비아,Chimore
China Bay Airport,차이나 베이 공항,TRR,VCCT,아시아태평양,Sri Lanka,스리랑카,Trincomalee
Chinchilla Airport,친칠라 공항,CCL,YCCA,대양주,Australia,오스트레일리아,Chinchilla
Chinggis Khaan International Airport,칭기즈칸 국제공항,UBN,ZMCK,아시아태평양,Mongolia,몽골,Ulaanbaatar
Chingozi Airport,마툰도 공항,TET,FQTT,중동아프리카,Mozambique,모잠비크,Tete
Chios Island National Airport,키오스 아일랜드 국립 공항,JKH,LGHI,유럽,Greece,그리스,Chios Island
Chipata Airport,치파타 공항,CIP,FLCP,중동아프리카,Zambia,잠비아,Chipata
Chippewa County International Airport,치페와 카운티 국제공항,CIU,KCIU,북미캐나다,United States,미국,Sault Ste Marie
Chippewa Valley Regional Airport,치페와 밸리 공항,EAU,KEAU,북미캐나다,United States,미국,Eau Claire
Chisana Airport,치사나 공항,CZN,n/a,북미캐나다,United States,미국,Chisana
Chisasibi Airport,치사시비 공항,YKU,CSU2,북미캐나다,Canada,캐나다,Chisasibi
Chisinau International Airport,키시나우 국제공항,RMO,LUKK,유럽,Moldova,몰도바,Chisinau
Chita International Airport,치타 국제공항,HTA,UIAA,유럽,Russia,러시아,Chita
Chitrakoot Airport,치트라쿠트 공항,CWK,VECT,아시아태평양,India,인도,Chitrakoot
Chitral Airport,치트랄 공항,CJL,OPCH,중동아프리카,Pakistan,파키스탄,Chitral
Chitre Alonso Valderrama Airport,치트레 알론소 발데라마 공항,CTD,MPCE,중남미,Panama,파나마,Chitre
Chizhou Jiuhuashan Airport,치저우 주화산 공항,JUH,ZSJH,아시아태평양,China,중국,Chizhou
Chlef International Airport,츨레프 국제 공항,CFK,DAOI,중동아프리카,Algeria,알제리,Chlef
Chofu Airport,조후 공항,n/a,RJTF,아시아태평양,Japan,일본,Chofu
Choibalsan Airport,최발산공항,COQ,ZMCD,아시아태평양,Mongolia,몽골,Choibalsan
Choiseul Bay Airport,최슬베이 공항,CHY,AGGC,아시아태평양,Solomon Islands,솔로몬 제도,Choiseul Bay
Chokurdakh Airport,초쿠르다크 공항,CKH,UESO,유럽,Russia,러시아,Chokurdakh
Choluteca Airport,촐루테카 공항,n/a,MHCH,유럽,Honduras,온두라스,Choluteca
Chongjin Airport,청진공항,RGO,ZKHM,아시아태평양,North Korea,조선민주주의인민공화국,Chongjin
Chongqing Jiangbei International Airport,충칭 장베이 국제공항,CKG,ZUCK,아시아태평양,China,중국,Chongqing
Chongqing Wushan Airport,충칭 우산 공항,WSK,ZUWS,아시아태평양,China,중국,Wushan
Chongqing Xiannvshan Airport,충칭 시안누샨 공항,CQW,ZUWL,아시아태평양,China,중국,Wulong
Chos Malal Airport,초스 말랄 공항,HOS,SAHC,중남미,Argentina,아르헨티나,Chos Malal
Christchurch International Airport,크라이스트o치 국제 공항,CHC,NZCH,아시아태평양,New Zealand,뉴질랜드,Christchurch
Christmas Creek Airport,크리스마스 크릭 공항,CXQ,YCRK,대양주,Australia,오스트레일리아,Christmas Creek
Christmas Island Airport,크리스마스 아일랜드 공항,XCH,YPXM,대양주,Christmas Island,크리스마스섬(오스트레일리아),Christmas Island
Chu Lai International Airport,추라이 국제공항,VCL,VVCA,아시아태평양,Vietnam,베트남,Chu Lai
Chuathbaluk Airport,추스발룩 공항,CHU,PACH,북미캐나다,United States,미국,Chuathbaluk
Chub Cay International Airport,o브 케이 국제 공항,CCZ,MYBC,중남미,Bahamas,바하마,Chub Cay
Chubu Centrair International Airport,주부 국제공항,NGO,RJGG,아시아태평양,Japan,일본,Nagoya
Chulman Neryungri Airport,철만 네룽리 공항,NER,UELL,유럽,Russia,러시아,Neryungri
Chumikan Airport,추미칸 공항,n/a,UHHY,유럽,Russia,러시아,Chumikan
Chumphon Airport,춤폰 공항,CJM,VTSE,아시아태평양,Thailand,태국,Chumphon
Churchill Airport,o칠 공항,YYQ,CYYQ,북미캐나다,Canada,캐나다,Churchill
Churchill Falls Airport,o칠폴스 공항,ZUM,CZUM,북미캐나다,Canada,캐나다,Churchill Falls
Chuuk International Airport,추크 국제 공항,TKK,PTKK,아시아태평양,Micronesia,미크로네시아연방,Chuuk
Ciampino G. B. Pastine International Airport,참피노 G. B. 파스틴 국제공항,CIA,LIRA,유럽,Italy,이탈리아,Rome
Cibao International Airport,시바오 국제공항,STI,MDST,중남미,Dominican Republic,도미니카공화국,Santiago
Cicia Airport,시시아 공항,ICI,NFCI,아시아태평양,Fiji,피지,Cicia Island
Cijulang Nusawiru Airport,찌줄랑 누사위루 공항,CJN,WICN,북미캐나다,United States,미국,Cijulang
Cincinnati Municipal Airport,신시내티 시립공항,LUK,KLUK,북미캐나다,United States,미국,Cincinnati
Cincinnati/Northern Kentucky International Airport,신시내티/노던 켄터키 국제공항,CVG,KCVG,북미캐나다,United States,미국,Hebron
Cinder Park Airport,신더 파크 공항,RCP,n/a,북미캐나다,United States,미국,Alaska
Circle City Airport,서클시티 공항,IRC,PACR,북미캐나다,United States,미국,Circle
City of Derry Airport,에글린튼 공항,LDY,EGAE,유럽,United Kingdom,영국,Londonderry
Ciudad Constitucion Airport,시우다드 콘스티투시온 공항,CUA,MMDA,중남미,Mexico,멕시코,Ciudad Constitucion
Ciudad de Catamayo Airport,시우다드 데 카타마요 공항,LOH,SECA,중남미,Ecuador,에콰도르,Loja
Ciudad del Carmen International Airport,시우다드 델 카르멘 국제 공항,CME,MMCE,중남미,Mexico,멕시코,Ciudad del Carmen
Ciudad Guayana Airport,시우다드 과야나 공항,CGU,n/a,중남미,Venezuela,베네수엘라,Ciudad Guayana
Ciudad Obregon International Airport,시우다드 오브레곤 국제 공항,CEN,MMCN,중남미,Mexico,멕시코,Ciudad Obregon
Ciudad Real Central Airport,시우다드 리얼 센트럴 공항,CQM,LERL,유럽,Spain,스페인,Ciudad Real
Civil Aerodrome Khajuraho,카주라호 민간 비행장,HJR,VAKJ,아시아태평양,India,인도,Khajuraho
Clarence A. Bain Airport,클래런스 A. 베인 공항,MAY,MYAB,중남미,Bahamas,바하마,Mangrove Cay
Clarence Valley Regional Airport,클래런스 밸리 공항,GFN,YGFN,대양주,Australia,오스트레일리아,Grafton
Clark International Airport,클라크 국제 공항,CRK,RPLC,아시아태평양,Philippines,필리핀,Angeles
Clarks Point Airport,클락스 포인트 공항,CLP,PFCL,북미캐나다,United States,미국,Clarks Point
Clayton J. Lloyd International Airport,클레이튼 J. 로이드 국제 공항,AXA,TQPF,중남미,Anguilla,앵귈라,The Valley
Clayton Municipal Airpark,클레이튼 시립 비행장,CAO,KCAO,북미캐나다,United States,미국,Clayton
Clermont Airport,클레르몽 공항,CMQ,YCMT,대양주,Australia,오스트레일리아,Clermont
Clermont Ferrand Auvergne Airport,클레몽 페랑 오베뉴 공항,CFE,LFLC,유럽,France,프랑스,Clermont-Ferrand
Cleveland Burke Lakefront Airport,클리블랜드 버크 레이크프론트 공항,BKL,KBKL,북미캐나다,United States,미국,Cleveland
Cleveland Hopkins International Airport,클리블랜드 홉킨스 국제 공항,CLE,KCLE,북미캐나다,United States,미국,Cleveland
Clinton Municipal Airport,클린턴 공항,CWI,KCWI,북미캐나다,United States,미국,Clinton
Clinton National Airport,클린턴 내셔널 공항,LIT,KLIT,북미캐나다,United States,미국,Little Rock
Clinton Regional Airport,클린턴 공항,CLK,KCLK,북미캐나다,United States,미국,Clinton
Cloncurry Airport,클론커리 공항,CNJ,YCCY,대양주,Australia,오스트레일리아,Cloncurry
Clovis Municipal Airport,클로비스 공항,CVN,KCVN,북미캐나다,United States,미국,Clovis
Club Makokola Airport,클럽 마코콜라 에어포트 ,CMK,FWCM,중동아프리카,Malawi,말라위,Club Makokola
Cluj Napoca International Airport,클루지나포카 국제공항,CLJ,LRCL,유럽,Romania,루마니아,Cluj-Napoca
Clyde River Airport,클라이드 리버 공항,YCY,CYCY,북미캐나다,Canada,캐나다,Clyde River
Coari Airport,코아리 공항,CIZ,SWKO,중남미,Brazil,브라질,Coari
Coastal Carolina Regional Airport,코스탈 캐롤라이나 공항,EWN,KEWN,북미캐나다,United States,미국,Bern
Coatepeque Airport,코아테페크 공항,CTF,MGCT,중남미,Guatemala,페루,Coatepeque
Cobar Airport,코바 공항,CAZ,YCBA,대양주,Australia,오스트레일리아,Cobar
Cochin International Airport,코친 국제공항,COK,VOCI,아시아태평양,India,인도,Cochin
Coconut Island Airport,코코넛 아일랜드 공항,CNC,YCCT,대양주,Australia,오스트레일리아,Coconut Island
Cocos  Islands Airport,코코스 ,CCK,YPCC,대양주,Cocos (Keeling) Islands,코코스제도(오스트레일리아),Cocos Islands
Coen Airport,코엔 공항,CUQ,YCOE,대양주,Australia,오스트레일리아,Coen
Coffee Point Airport,커피 포인트 공항,CFA,n/a,북미캐나다,United States,미국,Coffee Point
Coffman Cove Seaplane Base,코프먼 코브 수상비행기 기지,KCC,PAKC,북미캐나다,United States,미국,Coffman Cove
Coffs Harbour Airport,콥스 하버 공항,CFS,YCFS,대양주,Australia,오스트레일리아,Coffs Harbour
Coimbatore International Airport,코임바토르 국제 공항,CJB,VOCB,아시아태평양,India,인도,Coimbatore
Coimbra Airport,코임브라 공항,n/a,n/a,유럽,Portugal,포르투갈,Coimbra
Cold Bay Airport,콜드 베이 공항,CDB,PACD,북미캐나다,United States,미국,Cold Bay
Coldfoot Airport,콜드풋 공항,CXF,PACX,북미캐나다,United States,미국,Coldfoot
