영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Tunggul Wulung Airport,퉁굴 우룽 공항,CXP,WIHL,아시아태평양,Indonesia,인도네시아,Cilacap
Tunica Municipal Airport,투니카 시립공항,UTM,KUTA,북미캐나다,United States,미국,Tunica
Tunis Carthage International Airport,튀니스 카르타고 국제공항,TUN,DTTA,중동아프리카,Tunisia,튀니지,Tunis
Tunoshna Airport,투노쉬나 공항,IAR,UUDL,유럽,Russia,러시아,Yaroslavl
Tuntutuliak Airport,툰투툴리악 공항,WTL,n/a,북미캐나다,United States,미국,Tuntutuliak
Tununak Airport,투누낙 공항,TNK,n/a,북미캐나다,United States,미국,Tununak
Tupelo Regional Airport,투펠로 공항,TUP,KTUP,북미캐나다,United States,미국,Tupelo
Tupile Airport,투필레 공항,TUE,n/a,중남미,Panama,파나마,Tupile
Turaif Domestic Airport,투라이프 국내선 공항,TUI,OETR,중동아프리카,Saudi Arabia,사우디아라비아,Turaif
Turbat International Airport,투르바트 국제 공항,TUK,OPTU,중동아프리카,Pakistan,파키스탄,Turbat
Tureia Airport,투레이아 공항,ZTA,NTGY,아시아태평양,French Polynesia,프랑스령 폴리네시아,Tureia
Turin Airport,토리노 공항,TRN,LIMF,유럽,Italy,이탈리아,Turin
Turkmenabat Airport,투르크메나바트 공항,CRZ,UTAV,아시아태평양,Turkmenistan,투르크메니스탄,Trkmenabat
Turkmenbashi International Airport,투르크멘바시 국제공항,KRW,UTAK,아시아태평양,Turkmenistan,투르크메니스탄,TrkmenbaSy
Turku Airport,투르쿠 공항,TKU,EFTU,유럽,Finland,핀란드,Turku
Turpan Jiaohe Airport,투르판 자오허 공항,TLQ,ZWTP,아시아태평양,China,중국,Turpan
Turukhansk Airport,투루한스크 공항,THX,UOTT,유럽,Russia,러시아,Turukhansk
Tuscaloosa Regional Airport,터스컬루사 공항,TCL,KTCL,북미캐나다,United States,미국,Tuscaloosa
Tuticorin Airport,투티코린 공항,TCR,VOTK,아시아태평양,India,인도,Tuticorin
Tuuta Airport,투우타 공항,CHT,NZCI,아시아태평양,New Zealand,뉴질랜드,Chatham Islands
Tuzla International Airport,투즐라 국제 공항,TZL,LQTZ,유럽,Bosnia and Herzegovina,보스니아 헤르체고비나,Tuzla
Tweed New Haven Airport,트위드 뉴 헤이븐 공항,HVN,KHVN,북미캐나다,United States,미국,Haven
Twin Hills Airport,트윈 힐스 공항,TWA,n/a,북미캐나다,United States,미국,Twin Hills
Tyler Pounds Regional Airport,타일러 파운즈 공항,TYR,KTYR,북미캐나다,United States,미국,Tyler
Tynda Airport,틴다 공항,TYD,UHBW,유럽,Russia,러시아,Tynda
Tyndall Air Force Base,틴달 공군기지,PAM,KPAM,북미캐나다,United States,미국,Panama City
U Tapao International Airport,우타파오 국제공항,UTP,VTBU,아시아태평양,Thailand,태국,Utapao
Ua Huka Airport,우아후카 공항,UAH,NTMU,아시아태평양,French Polynesia,프랑스령 폴리네시아,Ua Huka
Ua Pou Airport,우아포우 공항,UAP,NTMP,아시아태평양,French Polynesia,프랑스령 폴리네시아,Ua Pou
Ubari Airport,우바리 공항,QUB,HLUB,중동아프리카,Libya,리비아,Ubari
Ubatuba Airport,우바투바 공항,UBT,SDUB,중남미,Brazil,브라질,Ubatuba
Ubon Ratchathani Airport,우본랏차타니 공항,UBP,VTUU,아시아태평양,Thailand,태국,Ubon Ratchathani
Udon Thani International Airport,우돈타니 국제공항,UTH,VTUD,아시아태평양,Thailand,태국,Udon Thani
Ufa International Airport,우파 국제 공항,UFA,UWUU,유럽,Russia,러시아,Ufa
Ugashik Airport,우가시크 공항,UGS,n/a,북미캐나다,United States,미국,Ugashik
Ugolny Airport,우골니 공항,DYR,UHMA,유럽,Russia,러시아,Anadyr
UIge Airport,위제 공항,UGO,FNUG,중동아프리카,Angola,앙골라,UIge
Ujae Airport,우재공항,UJE,UJAP,아시아태평양,Marshall Islands,마샬 군도,Ujae Island
Ukhta Airport,우흐타 공항,UCT,UUYH,유럽,Russia,러시아,Ukhta
Ukunda Airport,우쿤다 공항,UKA,HKUK,중동아프리카,Kenya,케냐,Ukunda
Ulaangom Airport,울란곰 공항,ULO,ZMUG,아시아태평양,Mongolia,몽골,Ulaangom
Ulanhot Airport,울란하오터 공항,HLH,ZBUL,아시아태평양,China,중국,Ulanhot
Ulanqab Airport,울란차브 공항,UCB,ZBUC,아시아태평양,China,중국,Ulanqab
Ulawa Airport,울라와 공항,RNA,AGAR,아시아태평양,Solomon Islands,솔로몬 제도,Arona
Ulei Airport,울레이 공항,ULB,NVSU,아시아태평양,Vanuatu,바누아투,Ulei
Ulsan Airport,울산공항,USN,RKPU,아시아태평양,South Korea,대한민국,Ulsan
Ulukhaktok Airport,울루하톡 공항,YHI,CYHI,북미캐나다,Canada,캐나다,Ulukhaktok
Ulundi Airport,울룬디 공항,ULD,FAUL,중동아프리카,South Africa,남아프리카,Ulundi
Ulusaba Airstrip,울루사바 활주로,ULX,n/a,중동아프리카,South Africa,남아프리카,Ulusaba
Ulyanovsk Baratayevka Airport,울리야놉스크 바라타예프카 공항,ULV,UWLL,유럽,Russia,러시아,Ulyanovsk
Ulyanovsk Vostochny Airport,울리야놉스크 보스토크니 공항,ULY,UWLW,유럽,Russia,러시아,Ulyanovsk
Uman Airport,우만 공항,n/a,n/a,유럽,Ukraine,우크라이나,Uman
Umberto Modiano Airport,움베르토 모디아노 공항,BZC,SBBZ,중남미,Brazil,브라질,Armacao dos BUzios
Umbria International Airport,움브리아 국제공항,PEG,LIRZ,유럽,Italy,이탈리아,Perugia
Umea Airport,우메오 공항,UME,ESNU,유럽,Sweden,스웨덴,Umea
Umiujaq Airport,우미우자크 공항,YUD,CYMU,북미캐나다,Canada,캐나다,Umiujaq
Una Comandatuba Airport,우나 코만다투바 공항,UNA,SBTC,중남미,Brazil,브라질,Una
Unalakleet Airport,어널래클릿 공항,UNK,PAUN,북미캐나다,United States,미국,Unalakleet
Unalaska Airport,어널래스카 공항,DUT,PADU,북미캐나다,United States,미국,DutchHarb
University of Illinois Willard Airport,일리노이 대학교 윌러드 공항,CMI,KCMI,북미캐나다,United States,미국,Champaign
University Oxford Airport,유니버시티 옥스퍼드 공항,UOX,KUOX,북미캐나다,United States,미국,Oxford
Upernavik Airport,우페르나비크 공항,JUV,BGUK,유럽,Greenland,그린란드,Upernavik
Upington Airport,어핑턴 공항,UTN,FAUP,중동아프리카,South Africa,남아프리카,Upington
Urad Middle Banner Airport,우라드 미들배너 공항,WZQ,n/a,아시아태평양,China,중국,Urad Middle Banner
Uranium City Airport,우라늄 시티 공항,YBE,CYBE,북미캐나다,Canada,캐나다,Uranium City
Uray Airport,우라이 공항,URJ,USHU,유럽,Russia,러시아,Uray
Urgench International Airport,우르겐치 국제 공항,UGC,UTNU,아시아태평양,Uzbekistan,우즈베키스탄,Urgench
Urmia Airport,우르미아 공항,OMH,OITR,중동아프리카,Iran,이란,Urmia
Uru Harbour Airport,우루 항구 공항,ATD,AGAT,아시아태평양,Solomon Islands,솔로몬 제도,Atoifi
Urumqi Diwopu International Airport,우루무치 디워푸 국제공항,URC,ZWWW,아시아태평양,China,중국,Urumqi
Urzhar Airport,우르자르 공항,UZR,UASU,아시아태평양,Kazakhstan,카자흐스탄,Urzhar
USak Airport,우샤크 공항,USQ,LTBO,유럽,Turkey,터키,USak
Usharal Airport,우샤랄 공항,USJ,UAAL,아시아태평양,Kazakhstan,카자흐스탄,Usharal
Ushuaia Malvinas Argentinas International Airport,우수아이아 말비나스 아르헨티나스 국제공항,USH,SAWH,중남미,Argentina,아르헨티나,Ushuaia
Usiminas Airport,우시미나스 공항,IPN,SBIP,중남미,Brazil,브라질,Ipatinga
Usinsk Airport,우신스크 공항,USK,UUYS,유럽,Russia,러시아,Usinsk
Ust Ilimsk Airport,우스트 일림스크 공항,UIK,UIBS,유럽,Russia,러시아,Ust-Ilimsk
Ust Kut Airport,우스트 쿠트 공항,UKX,UITT,유럽,Russia,러시아,Ust-Kut
Ust Kuyga Airport,우스트 쿠이가 공항,UKG,UEBT,유럽,Russia,러시아,UstKuyga
Ust Maya Airport,우스트 마야 공항,UMS,UEMU,유럽,Russia,러시아,Ust-Maya
Ust Nera Airport,우스트 네라 공항,USR,UEMT,유럽,Russia,러시아,UstNera
Ust Tsilma Airport,우스트 틸마 공항,UTS,UUYX,유럽,Russia,러시아,Ust-Tsilma
Ustupo Airport,우스투포 공항,UTU,n/a,중남미,Panama,파나마,Ustupo
Ustupu Ogobsucum Airport,우스투푸 오고브수쿰 공항,OGM,n/a,중남미,Panama,파나마,Ustupo
Utila Airport,우틸라 공항,UII,MHUT,유럽,Honduras,온두라스,Utila
Utirik Airport,유티릭 공항,UTK,n/a,아시아태평양,Marshall Islands,마샬 군도,Utirik Atoll
Utkela Airport,우트켈라 공항,UKE,VEUK,아시아태평양,India,인도,Utkela
Uummannaq Umanak Airport,우만나크 우마낙 공항,UMD,BGUM,유럽,Greenland,그린란드,Uummannaq
Uytash Airport,우이타쉬 공항,MCX,URML,유럽,Russia,러시아,Makhachkala
Uyuni Airport,우유니 공항,UYU,SLUY,중남미,Bolivia,볼리비아,Uyuni
Uzhhorod International Airport,우즈호로드 국제공항,UDJ,UKLU,유럽,Ukraine,우크라이나,Uzhhorod
Uzice Ponikve Airport,우지체 포니크베 공항,n/a,LYUZ,유럽,Serbia,세르비아,Serbia
V. C. Bird International Airport,V. C. 버드 국제공항,ANU,TAPA,중남미,Antigua and Barbuda,앤티가 바부다,Antigua
Vaasa Airport,바사 공항,VAA,EFVA,유럽,Finland,핀란드,Vaasa
Vaclav Havel AirportPrague,바츨라프 하벨 공항프라하,PRG,LKPR,유럽,Czechia,체코,Prague
Vadodara Airport,바도다라 공항,BDQ,VABO,아시아태평양,India,인도,Vadodara
Vadso Airport,바드쇠 공항,VDS,ENVD,유럽,Norway,노르웨이,Vadso
Vaeroy Airport,베로이 공항,VRY,ENVY,유럽,Norway,노르웨이,Vaeroy
Vagar Airport,바가르 공항,FAE,EKVG,중남미,Faroe Islands,페로제도,FaroeIs
Vahitahi Airport,바히타히 공항,VHZ,NTUV,아시아태평양,French Polynesia,프랑스령 폴리네시아,Vahitahi
Val de Cans International Airport,발 드 꺉 국제 공항,BEL,SBBE,중남미,Brazil,브라질,Belem
Val d'Or Airport,발도르 공항,YVO,CYVO,북미캐나다,Canada,캐나다,ValdOr
Valdez Airport,밸디즈 공항,VDZ,PAVD,북미캐나다,United States,미국,Valdez
Valdosta Regional Airport,발도스타 공항,VLD,KVLD,북미캐나다,United States,미국,Valdosta
Valenca Airport,발렌사 공항,VAL,SNVB,중남미,Brazil,브라질,Valenca
Valencia Airport,발렌시아 공항,VLC,LEVC,유럽,Spain,스페인,Valencia
Valesdir Airport,발레스데르 공항,VLS,NVSV,아시아태평양,Vanuatu,바누아투,Valesdir
Valladolid Airport,바야돌리드 공항,VLL,LEVD,유럽,Spain,스페인,Valladolid
Valle del Conlara Airport,발레 델 콘라라 공항,RLO,SAOS,중남미,Argentina,아르헨티나,Villa de Merlo
Vallenar Airport,발레나르 공항,n/a,n/a,중남미,Chile,칠레,Vallenar
Valley International Airport,밸리 국제 공항,HRL,KHRL,북미캐나다,United States,미국,Harlingen
Van Don International Airport,반 돈 국제 공항,VDO,VVVD,아시아태평양,Vietnam,베트남,QuangNinh
Van Ferit Melen Airport,반 페리 멜렌 공항,VAN,LTCI,유럽,Turkey,터키,Van
Van Nuys Airport,반 누이 공항,VNY,KVNY,북미캐나다,United States,미국,Los Angeles
Vanavara Airport,바나바라 공항,VAQ,UNIW,유럽,Russia,러시아,Vanavara
Vance W. Amory International Airport,밴스 W. 아모리 국제 공항,NEV,TKPN,중남미,Saint Kitts and Nevis,세인트키츠네비스,Nevis
Vancouver Harbour Flight Centre,밴쿠버 하버 비행 센터,CXH,CYHC,북미캐나다,Canada,캐나다,Vancouver
Vancouver International Airport,밴쿠버 국제 공항,YVR,CYVR,북미캐나다,Canada,캐나다,Vancouver
Vanimo Airport,바니모 공항,VAI,AYVN,아시아태평양,Papua New Guinea,파푸아뉴기니,Vanimo
Vanua Lava Airport,바누아 라바 공항,SLH,NVSC,아시아태평양,Vanuatu,바누아투,Sola
Vanuabalavu Airport,바누아발라부 공항,VBV,NFVB,아시아태평양,Fiji,피지,Vanua Balavu
Vardo Airport Svartnes,바르되 공항 스바르트네스,VAW,ENSS,유럽,Norway,노르웨이,Vardo
Varkaus Airport,바르카우스 공항,VRK,EFVR,유럽,Finland,핀란드,Varkaus
Varna Airport,바르나 공항,VAR,LBWN,유럽,Bulgaria,불가리아,Varna
Vavau International Airport,바바우 국제공항,VAV,NFTV,아시아태평양,Tonga,통가,Vavau
Vaxj Airport,벡셰/크로노베르크 공항,VXO,ESMX,유럽,Sweden,스웨덴,VAxj
Veer Savarkar International Airport,비어 사바르카르 국제공항,IXZ,VOPB,아시아태평양,India,인도,Port Blair
Veer Surendra Sai Airport,비르 수렌드라 사이 공항,JRG,VEJH,아시아태평양,India,인도,Jharsuguda
Veliky Ustyug Airport,벨리키 우스티우그 공항,VUS,ULWU,유럽,Russia,러시아,Veliky Ustyug
Vellore Airport,벨로르 공항,n/a,VOVR,아시아태평양,India,인도,Vellore
Velsk Airport,벨스크 공항,n/a,n/a,유럽,Russia,러시아,Velsk
Venango Regional Airport,베넹고 지역 공항,FKL,KFKL,북미캐나다,United States,미국,Franklin
Venetie Airport,베네티 공항,VEE,PAVE,북미캐나다,United States,미국,Venetie
Venice Marco Polo Airport,베네치아 마르코 폴로 공항,VCE,LIPZ,유럽,Italy,이탈리아,Venice
Venice Municipal Airport,베니스 공항,VNC,KVNC,북미캐나다,United States,미국,Venice
Venustiano Carranza International Airport,베누스티아노 카란자 국제공항,LOV,MMMV,중남미,Mexico,멕시코,Monclova
Verkhnevilyuysk Airport,베르흐네빌류스크 공항,VHV,UENI,유럽,Russia,러시아,Verkhnevliyuy
Vermilion Regional Airport,버밀리언 공항,DNV,KDNV,북미캐나다,United States,미국,Danville
Vernal Regional Airport,버널 공항,VEL,KVEL,북미캐나다,United States,미국,Vernal
Vero Beach Regional Airport,베로비치 공항,VRB,KVRB,북미캐나다,United States,미국,Vero Beach
Verona Villafranca Airport,베로나 빌라프랑카 공항,VRN,LIPX,유럽,Italy,이탈리아,Verona
Vestmannaeyjar Airport,베스트만네이야 공항,VEY,BIVM,유럽,Iceland,아이슬란드,Vestmannaeyja
Vicecomodoro angel de la Paz Aragones Airport,비스코모도로 앙헬 데 라 파스 아라고네스 공항,SDE,SANE,중남미,Argentina,아르헨티나,Santiago del Estero
Victor Attah International Airport,빅터 아타 국제공항,QUO,DNAI,중동아프리카,Nigeria,나이지리아,Uyo
Victoria Falls Airport,빅토리아 폴스 공항,VFA,FVFA,중동아프리카,Zimbabwe,짐바브웨,Victoria Falls
Victoria Harbour Water Airport,빅토리아 하버 워터 공항,YWH,CYWH,북미캐나다,Canada,캐나다,Victoria
Victoria International Airport,빅토리아 국제 공항,YYJ,CYYJ,북미캐나다,Canada,캐나다,Victoria
Victoria Regional Airport,빅토리아 공항,VCT,KVCT,북미캐나다,United States,미국,Victoria
Vidyanagar Airport,비댜나가르 공항,VDY,VOJV,아시아태평양,India,인도,Vidyanagar
Vienna International Airport,비엔나 국제 공항,VIE,LOWW,유럽,Austria,오스트리아,Vienna
Vieste Heliport,비에스테 헬리포트,VIF,LIBI,유럽,Italy,이탈리아,Vieste
Vigan Mindoro Airport,비간 공항,n/a,RPUQ,아시아태평양,Philippines,필리핀,Vigan
Vigo Peinador Airport,비고 페이나도르 공항,VGO,LEVX,유럽,Spain,스페인,Vigo
Vila Real Airport,빌라 레알 공항,VRL,LPVR,유럽,Portugal,포르투갈,Vila Real
Vila Rica Municipal Airport,빌라리카 공항,VLP,SWVC,중남미,Brazil,브라질,Vila Rica
Vilankulo Airport,빌란쿨로 공항,VNX,FQVL,중동아프리카,Mozambique,모잠비크,Vilankulo
Vilhelmina Airport,빌헬미나 공항,VHM,ESNV,유럽,Sweden,스웨덴,Vilhelmina
Vilhena Airport,빌헤나 공항,BVH,SBVH,중남미,Brazil,브라질,Vilhena
Villa Garzon Airport,빌라 가르손 에어포트 ,VGZ,SKVG,중남미,Colombia,콜롬비아,Villagarzon
Villa Gesell Airport,빌라 게셀 에어포트 ,VLG,SAZV,중남미,Argentina,아르헨티나,Villa Gesell
Villa International AirportMaamigili,빌라 인터내셔널 에어포트 마미길리 ,VAM,VRMV,아시아태평양,Maldives,몰디브,Maamigili
Villa Reynolds Airport,빌라 레이놀즈 에어포트 ,VME,SAOR,중남미,Argentina,아르헨티나,Villa Mercedes
Vilnius Airport,빌니우스 공항,VNO,EYVI,유럽,Lithuania,리투아니아,Vilnius
Vilo Acuna Airport,빌로 아쿠냐 공항,CYO,MUCL,중남미,Cuba,쿠바,Cayo Largo del Sur
Vilyuysk Airport,빌류이스크 공항,VYI,UENW,유럽,Russia,러시아,Vilyuysk
Vina del Mar Airport,비냐 델 마르 공항,KNA,SCVM,중남미,Chile,칠레,Vina del Mar
Vincenzo Florio AirportTrapani Birgi,빈첸초 플로리오 공항트라파니 비르기,TPS,LICT,유럽,Italy,이탈리아,Trapani
Vinh International Airport,빈 국제 공항,VII,VVVH,아시아태평양,Vietnam,베트남,Vinh
Vipingo Airport,비핑고 공항,VPG,HKVG,중동아프리카,Kenya,케냐,Vipingo
Virac Airport,비락 공항,VRC,RPUV,아시아태평양,Philippines,필리핀,Virac
Viracopos/Campinas International Airport,비라코포스/캄피나스 국제공항,VCP,SBKP,중남미,Brazil,브라질,Sao Paulo
Virgin Gorda Airport,버진고르다 공항,VIJ,TUPW,아시아태평양,British Virgin Islands,영국령 버진아일랜드,Virgin Gorda
Virginia Airport,버지니아 공항,VIR,FAVG,중동아프리카,South Africa,남아프리카,Virginia
Virginia Highlands Airport,버지니아 하이랜드 공항,VJI,KVJI,북미캐나다,United States,미국,Abingdon
Viru Viru International Airport,비루비루 국제공항,VVI,SLVR,중남미,Bolivia,볼리비아,Santa Cruz de la Sierra
Visakhapatnam Airport,비사카파트남 공항,VTZ,VOVZ,아시아태평양,India,인도,Visakhapatnam
Visalia Municipal Airport,비살리아 공항,VIS,KVIS,북미캐나다,United States,미국,Visalia
Visby Airport,비스비 공항,VBY,ESSV,유럽,Sweden,스웨덴,Visby
Viseu Airport,비세우 공항,VSE,LPVZ,유럽,Portugal,포르투갈,Viseu
Vitebsk Vostochny Airport,비쳅스크 보스토크니 공항,VTB,UMII,유럽,Belarus,벨라루시,Vitebsk
Vitoria Airport,비토리아 공항,VIT,LEVT,유럽,Spain,스페인,Vitoria-Gasteiz
Vladivostok International Airport,블라디보스토크 국제 공항,VVO,UHWW,유럽,Russia,러시아,Vladivostok
Vnukovo International Airport,브누코보 국제공항,VKO,UUWW,유럽,Russia,러시아,Moscow
Vodochody Airport,보도초디 공항,VOD,LKVO,유럽,Czechia,체코,Prague
Voi Airport,보이 공항,n/a,n/a,중동아프리카,Kenya,케냐,Voi
Volgograd International Airport,볼고그라드 국제 공항,VOG,URWW,유럽,Russia,러시아,Volgograd
Vologda Airport,볼로그다 공항,VGD,ULWW,유럽,Russia,러시아,Vologda
Vopnafjrour Airport,보프나피외르뒤르 공항,VPN,BIVO,유럽,Iceland,아이슬란드,Vopnafjordur
Vorkuta Airport,보르쿠타 공항,VKT,UUYW,유럽,Russia,러시아,Vorkuta
Voronezh International Airport,보로네시 국제공항,VOZ,UUOO,유럽,Russia,러시아,Voronezh
Voronezh Pridacha Airport,보로네시 프리다차 공항,n/a,UUOD,유럽,Russia,러시아,Voronezh
Vunisea Airport,부니세아 공항,KDV,NFKD,아시아태평양,Fiji,피지,Kadavu
W. K. Kellogg Airport,W. K. 켈로그 공항,BTL,KBTL,북미캐나다,United States,미국,Battle Creek
Wa Airport,와 공항,WZA,DGLW,중동아프리카,Ghana,가나,Wa
Wabush Airport,와부시 공항,YWK,CYWK,북미캐나다,Canada,캐나다,Wabush
Waco Regional Airport,웨이코 지역 공항,ACT,KACT,북미캐나다,United States,미국,Waco
Wadi al Dawasir Domestic Airport,와디 알 다와시르 국내선 공항,WAE,OEWD,중동아프리카,Saudi Arabia,사우디아라비아,Wadi ad-Dawasir
Wadi Halfa Airport,와디 할파 공항,WHF,HSSW,중동아프리카,Sudan,수단,Wadi Halfa
Wagga Wagga Airport,와가와가 공항,WGA,YSWG,대양주,Australia,오스트레일리아,Wagga Wagga
Waimea Kohala Airport,와이메아 코할라 공항,MUE,PHMU,북미캐나다,United States,미국,Kamuela
Wainwright Airport,웨인라이트 공항,AIN,PAWI,북미캐나다,United States,미국,Fort Wainwright
Wajir Airport,와지르 공항,WJR,HKWJ,중동아프리카,Kenya,케냐,Wajir
Wakaya Airport,와카야공항,KAY,NFNW,아시아태평양,Fiji,피지,Wakaya Island
Wakkanai Airport,왓카나이 공항,WKJ,RJCW,아시아태평양,Japan,일본,Wakkanai
Walaha Airport,왈라하 공항,WLH,NVSW,아시아태평양,Vanuatu,바누아투,Walaha
Wales Airport,웨일스 공항,WAA,PAIW,북미캐나다,United States,미국,Wales
Walla Walla Regional Airport,왈라왈라 공항,ALW,KALW,북미캐나다,United States,미국,Walla Walla
Walvis Bay Airport,월브스 베이 공항,WVB,FYWB,중동아프리카,Namibia,나미비아,Walvis Bay
Wamena Airport,와메나 공항,WMX,WAJW,아시아태평양,Indonesia,인도네시아,Wamena
Wanaka Airport,와나카 공항,WKA,NZWF,아시아태평양,New Zealand,뉴질랜드,Wanaka
Wang an Airport,왕안공항,WOT,RCWA,아시아태평양,Taiwan,대만,Wang'an
Wanigela Airport,와니겔라 공항,AGL,AYWG,아시아태평양,Papua New Guinea,파푸아뉴기니,Wanigela
Wanzhou Wuqiao Airport,완저우 우차오 공항,WXN,ZUWX,아시아태평양,China,중국,Wanzhou
Wapenamanda Airport,와페나만다 공항,WBM,AYWD,아시아태평양,Papua New Guinea,파푸아뉴기니,Wapenamanda
Warangal Airport,와랑갈 공항,WGC,VOWA,아시아태평양,India,인도,Warangal
Warraber Island Airport,워레이버 아일랜드 공항,SYU,YWBS,대양주,Australia,오스트레일리아,WarraberIs
Warri Airport,와리 공항,QRW,DNSU,중동아프리카,Nigeria,나이지리아,Warri
Warrnambool Airport,워남불 공항,WMB,YWBL,대양주,Australia,오스트레일리아,Warrnambool
Warsaw Chopin Airport,바르샤바 쇼팽 공항,WAW,EPWA,유럽,Poland,폴란드,Warsaw
Warsaw Modlin Airport,바르샤바 모들린 공항,WMI,EPMO,유럽,Poland,폴란드,Warsaw
Warukin Airport,와루킨 공항,TJG,WRBN,아시아태평양,Indonesia,인도네시아,Tanjung
Washington County Airport,워싱턴 카운티 공항,WSG,n/a,북미캐나다,United States,미국,Washington 
Washington Dulles International Airport,워싱턴 덜레스 국제 공항,IAD,KIAD,북미캐나다,United States,미국,Washington
Waskaganish Airport,와스카가니시 공항,YKQ,CYKQ,북미캐나다,Canada,캐나다,Waskaganish
Waspam Airport,와스팸 공항,WSP,MNWP,중남미,Nicaragua,니카라과,Waspam
Waterfall Seaplane Base,폭포 수상 비행기 기지,KWF,n/a,북미캐나다,United States,미국,Waterfall
Waterford Airport,워터퍼드 공항,WAT,EIWF,유럽,Ireland,아일랜드,Waterford
Waterloo Regional Airport,워털루 공항,ALO,KALO,북미캐나다,United States,미국,Waterloo
Watertown International Airport,워터타운 국제공항,ART,KART,북미캐나다,United States,미국,Watertown
Watertown Regional Airport,워터타운 지역공항,ATY,KATY,북미캐나다,United States,미국,Watertown
Watson Lake Airport,왓슨 레이크 공항,YQH,CYQH,북미캐나다,Canada,캐나다,Watson Lake
Wattay International Airport,왓타이 국제 공항,VTE,VLVT,아시아태평양,Laos,라오스,Vientiane
Wau Airport,와우 공항,WUU,HSWW,중동아프리카,South Sudan,수단,Wau
Waukesha County Airport,워키샤 카운티 공항,UES,KUES,북미캐나다,United States,미국,Waukesha
Way Tuba Gatot Subroto Airport,웨이 튜바 가토트 수브로토 공항,WTX,n/a,아시아태평양,Indonesia,인도네시아,Way Tuba
Waynesville St. Robert Regional Airport,웨인스빌 세인트. 로버트 지역공항,TBN,KTBN,북미캐나다,United States,미국,Fort Leonard Wood
Webequie Airport,웨퀴 공항,YWP,CYWP,북미캐나다,Canada,캐나다,Webequie
Weerawila Airport,위라윌라 공항,WRZ,VCCW,아시아태평양,Sri Lanka,스리랑카,Weerawila
Weeze Airport,위즈 공항,NRN,EDLV,유럽,Germany,독일,Weeze
Weifang Airport,웨이팡 공항,WEF,ZSWF,아시아태평양,China,중국,Weifang
Weihai Dashuibo Airport,웨이하이 다수이보 공항,WEH,ZSWH,아시아태평양,China,중국,Weihai
Weipa Airport,웨이파 공항,WEI,YBWP,대양주,Australia,오스트레일리아,Weipa
Wekweeti Airport,베크웨티 공항,YFJ,CYWE,북미캐나다,Canada,캐나다,Wekweeti
Wellington International Airport,웰링턴 국제 공항,WLG,NZWN,아시아태평양,New Zealand,뉴질랜드,Wellington
Wemindji Airport,웨민지 공항,YNC,CYNC,북미캐나다,Canada,캐나다,Wemindji
Wenshan Puzhehei Airport,원산푸저헤이 공항,WNH,ZPWS,아시아태평양,China,중국,Wenshan
Wenzhou Longwan International Airport,원저우 룽완 국제공항,WNZ,ZSWZ,아시아태평양,China,중국,Wenzhou
West Angelas Airport,웨스트 앤젤러스 공항,WLP,YANG,대양주,Australia,오스트레일리아,West Angelas
West Kootenay Regional Airport,웨스트 쿠트네이 지역 공항,YCG,CYCG,북미캐나다,Canada,캐나다,Castlegar
West Kutai Melalan Airport,웨스트 쿠타이 멜라란 공항,GHS,WALE,아시아태평양,Indonesia,인도네시아,Melak
West Michigan Regional Airport,웨스트 미시간 지역 공항,n/a,KBIV,북미캐나다,United States,미국,West Michigan
West Point Village Seaplane Base,웨스트 포인트 빌리지 수상비행기 기지,KWP,n/a,북미캐나다,United States,미국,West Point
Westchester County Airport,웨스트체스터 카운티 공항,HPN,KHPN,북미캐나다,United States,미국,Westcheste
Westerly State Airport,웨스털리 스테이트 공항,WST,KWST,북미캐나다,United States,미국,Westerly
Western Nebraska Regional Airport,웨스턴 네브래스카 리저널 공항,BFF,KBFF,북미캐나다,United States,미국,Scottsbluff
WestField Barnes Regional Airport,웨스트필드 반스 공항,BAF,KBAF,북미캐나다,United States,미국,Westfield-Springfield
Westover Metropolitan Airport,웨스트오버 메트로폴리탄 공항,CEF,KCEF,북미캐나다,United States,미국,Springfield
Westport Airport,웨스트포트 공항,WSZ,NZWS,아시아태평양,New Zealand,뉴질랜드,Westport
Westray Airport,웨스트레이 공항,WRY,EGEW,유럽,United Kingdom,영국,Westray
Wewak Airport,웨왁 공항,WWK,AYWK,아시아태평양,Papua New Guinea,파푸아뉴기니,Wewak
Whakatane Airport,와카타네 공항,WHK,NZWK,아시아태평양,New Zealand,뉴질랜드,Whakatane
Whale Cove Airport,웨일 코브 공항,YXN,CYXN,북미캐나다,Canada,캐나다,Whale Cove
Whanganui Airport,황가누이 공항,WAG,NZWU,아시아태평양,New Zealand,뉴질랜드,Whanganui
Whangarei Airport,황가레이 공항,WRE,NZWR,아시아태평양,New Zealand,뉴질랜드,Whangarei
Whati Airport,화이티 공항,YLE,CEM3,북미캐나다,Canada,캐나다,Whati
White Mountain Airport,화이트 마운틴 공항,WMO,PAWM,북미캐나다,United States,미국,White Mountain
Whitegrass Airport,화이트그래스 공항,TAH,NVVW,아시아태평양,Vanuatu,바누아투,Tanna Island
Whitsunday Coast Airport,휘트선데이 코스트 공항,PPP,YBPN,대양주,Australia,오스트레일리아,Proserpine
Whyalla Airport,화이앨라 공항,WYA,YWHA,대양주,Australia,오스트레일리아,Whyalla
